date,ticker,price
2023-04-24,MAGN_RU0009084396,41.035
2023-04-21,MAGN_RU0009084396,41.175
2023-04-20,MAGN_RU0009084396,41.44
2023-04-19,MAGN_RU0009084396,41.635
2023-04-18,MAGN_RU0009084396,41.285
2023-04-17,MAGN_RU0009084396,40.76
2023-04-14,MAGN_RU0009084396,40.44
2023-04-13,MAGN_RU0009084396,40.7
2023-04-12,MAGN_RU0009084396,40.65
2023-04-11,MAGN_RU0009084396,40.73
2023-04-10,MAGN_RU0009084396,41.37
2023-04-07,MAGN_RU0009084396,40.365
2023-04-06,MAGN_RU0009084396,40.42
2023-04-05,MAGN_RU0009084396,40.79
2023-04-04,MAGN_RU0009084396,40.135
2023-04-03,MAGN_RU0009084396,40.2
2023-03-31,MAGN_RU0009084396,39.94
2023-03-30,MAGN_RU0009084396,40.245
2023-03-29,MAGN_RU0009084396,40.6
2023-03-28,MAGN_RU0009084396,39.15
2023-03-27,MAGN_RU0009084396,39.395
2023-03-24,MAGN_RU0009084396,38.905
2023-03-23,MAGN_RU0009084396,39.155
2023-03-22,MAGN_RU0009084396,39.35
2023-03-21,MAGN_RU0009084396,39.595
2023-03-20,MAGN_RU0009084396,40.155
2023-03-17,MAGN_RU0009084396,39.89
2023-03-16,MAGN_RU0009084396,40.25
2023-03-15,MAGN_RU0009084396,40.9
2023-03-14,MAGN_RU0009084396,41.28
2023-03-13,MAGN_RU0009084396,41.515
2023-03-10,MAGN_RU0009084396,42.11
2023-03-09,MAGN_RU0009084396,41.31
2023-03-07,MAGN_RU0009084396,40.665
2023-03-06,MAGN_RU0009084396,39.985
2023-03-03,MAGN_RU0009084396,39.68
2023-03-02,MAGN_RU0009084396,38.94
2023-03-01,MAGN_RU0009084396,39.47
2023-02-28,MAGN_RU0009084396,39.07
2023-02-27,MAGN_RU0009084396,39.095
2023-02-24,MAGN_RU0009084396,38.825
2023-02-22,MAGN_RU0009084396,38.8
2023-02-21,MAGN_RU0009084396,38.31
2023-02-20,MAGN_RU0009084396,36.83
2023-02-17,MAGN_RU0009084396,36.535
2023-02-16,MAGN_RU0009084396,36.345
2023-02-15,MAGN_RU0009084396,35.835
2023-02-14,MAGN_RU0009084396,37.385
2023-02-13,MAGN_RU0009084396,38.405
2023-02-10,MAGN_RU0009084396,38.465
2023-02-09,MAGN_RU0009084396,38.14
2023-02-08,MAGN_RU0009084396,37.77
2023-02-07,MAGN_RU0009084396,38.08
2023-02-06,MAGN_RU0009084396,38.405
2023-02-03,MAGN_RU0009084396,38.135
2023-02-02,MAGN_RU0009084396,37.95
2023-02-01,MAGN_RU0009084396,36.68
2023-01-31,MAGN_RU0009084396,35.945
2023-01-30,MAGN_RU0009084396,35.465
2023-01-27,MAGN_RU0009084396,34.325
2023-01-26,MAGN_RU0009084396,33.935
2023-01-25,MAGN_RU0009084396,33.985
2023-01-24,MAGN_RU0009084396,33.91
2023-01-23,MAGN_RU0009084396,34.05
2023-01-20,MAGN_RU0009084396,33.78
2023-01-19,MAGN_RU0009084396,33.99
2023-01-18,MAGN_RU0009084396,34.495
2023-01-17,MAGN_RU0009084396,34.18
2023-01-16,MAGN_RU0009084396,34.64
2023-01-13,MAGN_RU0009084396,34.075
2023-01-12,MAGN_RU0009084396,33.84
2023-01-11,MAGN_RU0009084396,33.61
2023-01-10,MAGN_RU0009084396,33.29
2023-01-09,MAGN_RU0009084396,33.26
2023-01-06,MAGN_RU0009084396,33.36
2023-01-05,MAGN_RU0009084396,33.125
2023-01-04,MAGN_RU0009084396,33.275
2023-01-03,MAGN_RU0009084396,33.395
2022-12-30,MAGN_RU0009084396,32.865
2022-12-29,MAGN_RU0009084396,32.21
2022-12-28,MAGN_RU0009084396,32.14
2022-12-27,MAGN_RU0009084396,32.14
2022-12-26,MAGN_RU0009084396,32.075
2022-12-23,MAGN_RU0009084396,31.87
2022-12-22,MAGN_RU0009084396,31.89
2022-12-21,MAGN_RU0009084396,31.85
2022-12-20,MAGN_RU0009084396,32.46
2022-12-19,MAGN_RU0009084396,32.93
2022-12-16,MAGN_RU0009084396,31.64
2022-12-15,MAGN_RU0009084396,31.345
2022-12-14,MAGN_RU0009084396,31.945
2022-12-13,MAGN_RU0009084396,32.2
2022-12-12,MAGN_RU0009084396,31.875
2022-12-09,MAGN_RU0009084396,31.55
2022-12-08,MAGN_RU0009084396,31.64
2022-12-07,MAGN_RU0009084396,31.25
2022-12-06,MAGN_RU0009084396,31.205
2022-12-05,MAGN_RU0009084396,31.23
2022-12-02,MAGN_RU0009084396,31.24
2022-12-01,MAGN_RU0009084396,31.515
2022-11-30,MAGN_RU0009084396,31.565
