<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26222RMFS8,D,24/05/21,000000,102.711,102.712,102.371,102.371,10.887
SU26222RMFS8,D,25/05/21,000000,102.384,102.995,102.206,102.479,184.170
SU26222RMFS8,D,26/05/21,000000,102.377,103,102.352,102.44,22.647
SU26222RMFS8,D,27/05/21,000000,102.987,102.987,102.35,102.35,17.311
SU26222RMFS8,D,28/05/21,000000,102.36,102.795,102.171,102.32,13.616
SU26222RMFS8,D,31/05/21,000000,102.321,102.448,102.092,102.3,10.038
SU26222RMFS8,D,01/06/21,000000,102.799,102.799,102,102.237,6.782
SU26222RMFS8,D,02/06/21,000000,102.237,102.237,101.946,102,8.339
SU26222RMFS8,D,03/06/21,000000,102.002,102.149,101.867,101.95,93.576
SU26222RMFS8,D,04/06/21,000000,102.416,102.416,101.7,101.872,31.271
SU26222RMFS8,D,07/06/21,000000,101.601,101.87,101.6,101.799,14.936
SU26222RMFS8,D,08/06/21,000000,101.8,101.8,101.399,101.67,11.567
SU26222RMFS8,D,09/06/21,000000,101.517,101.659,101.391,101.455,14.595
SU26222RMFS8,D,10/06/21,000000,101.499,101.62,101.454,101.6,715.216
SU26222RMFS8,D,11/06/21,000000,101.998,101.998,101.461,101.7,4.882
SU26222RMFS8,D,14/06/21,000000,101.7,102.143,101.62,101.65,2.740
SU26222RMFS8,D,15/06/21,000000,101.996,101.996,101.2,101.317,47.604
SU26222RMFS8,D,16/06/21,000000,101.224,101.497,101.14,101.149,716.933
SU26222RMFS8,D,17/06/21,000000,101.122,101.362,100.922,101.06,203.891
SU26222RMFS8,D,18/06/21,000000,101.366,101.369,101.062,101.242,852.345
SU26222RMFS8,D,21/06/21,000000,101.062,101.498,101.062,101.18,6.654
SU26222RMFS8,D,22/06/21,000000,101.152,101.26,101.14,101.2,66.154
SU26222RMFS8,D,23/06/21,000000,101.068,101.5,101.066,101.399,4.714
SU26222RMFS8,D,24/06/21,000000,101.072,101.499,101.072,101.28,9.353
SU26222RMFS8,D,25/06/21,000000,101.4,101.495,101.156,101.22,6.640
SU26222RMFS8,D,28/06/21,000000,101.152,101.797,101.1,101.13,47.214
SU26222RMFS8,D,29/06/21,000000,101.18,101.18,100.7,100.85,22.749
SU26222RMFS8,D,30/06/21,000000,101.46,101.46,100.881,100.949,1.744
SU26222RMFS8,D,01/07/21,000000,100.9,101.061,100.89,100.899,262.103
SU26222RMFS8,D,02/07/21,000000,100.899,101.008,100.802,100.909,17.972
SU26222RMFS8,D,05/07/21,000000,101,101,100.8,100.929,85.010
SU26222RMFS8,D,06/07/21,000000,100.754,100.99,100.753,100.782,69.113
SU26222RMFS8,D,07/07/21,000000,100.757,100.959,100.751,100.77,181.123
SU26222RMFS8,D,08/07/21,000000,100.898,100.955,100.551,100.729,33.710
SU26222RMFS8,D,09/07/21,000000,100.919,100.919,100.527,100.563,4.128
SU26222RMFS8,D,12/07/21,000000,100.891,100.891,100.6,100.67,408.054
SU26222RMFS8,D,13/07/21,000000,100.907,100.907,100.6,100.605,86.634
SU26222RMFS8,D,14/07/21,000000,100.893,100.899,100.548,100.635,51.796
SU26222RMFS8,D,15/07/21,000000,100.501,100.956,100.501,100.82,150.414
SU26222RMFS8,D,16/07/21,000000,100.967,100.97,100.603,100.85,209.407
SU26222RMFS8,D,19/07/21,000000,100.538,100.851,100.538,100.851,112.658
SU26222RMFS8,D,20/07/21,000000,100.503,101,100.503,100.936,223.913
SU26222RMFS8,D,21/07/21,000000,100.866,101.379,100.864,101.137,287.899
SU26222RMFS8,D,22/07/21,000000,101.141,101.424,101.141,101.35,219.011
SU26222RMFS8,D,23/07/21,000000,101.8,101.8,101.2,101.21,6.948
SU26222RMFS8,D,26/07/21,000000,101.695,101.695,101.201,101.259,3.735
SU26222RMFS8,D,27/07/21,000000,101.49,101.657,101.156,101.231,22.523
SU26222RMFS8,D,28/07/21,000000,101.423,101.427,101.219,101.32,336.186
SU26222RMFS8,D,29/07/21,000000,101.561,101.562,101.286,101.3,8.839
SU26222RMFS8,D,30/07/21,000000,101.537,101.537,101.225,101.282,1.580
