<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26230RMFS1,D,02/09/21,000000,105.694,106.024,105.2,105.47,410.626
SU26230RMFS1,D,03/09/21,000000,105.544,105.74,105.206,105.552,13.490
SU26230RMFS1,D,06/09/21,000000,105.664,106.005,105.432,105.439,24.057
SU26230RMFS1,D,07/09/21,000000,105.429,105.449,105.2,105.264,25.404
SU26230RMFS1,D,08/09/21,000000,105.676,105.754,105.061,105.168,331.317
SU26230RMFS1,D,09/09/21,000000,105.386,105.4,105.1,105.268,827.974
SU26230RMFS1,D,10/09/21,000000,105.667,105.667,105.1,105.428,1.933.104
SU26230RMFS1,D,13/09/21,000000,105.548,105.65,105.117,105.601,42.553
SU26230RMFS1,D,14/09/21,000000,105.629,105.63,105.102,105.106,264.429
SU26230RMFS1,D,15/09/21,000000,105.116,105.298,105,105.054,649.635
SU26230RMFS1,D,16/09/21,000000,105.168,105.432,105.05,105.053,530.607
SU26230RMFS1,D,17/09/21,000000,105.005,105.187,104.774,104.95,933.767
SU26230RMFS1,D,20/09/21,000000,105.146,105.146,104,104.138,393.216
SU26230RMFS1,D,21/09/21,000000,104.012,104.759,104.012,104.496,58.075
SU26230RMFS1,D,22/09/21,000000,105.046,105.046,104.103,104.499,48.554
SU26230RMFS1,D,23/09/21,000000,104.299,104.299,103.7,103.799,585.268
SU26230RMFS1,D,24/09/21,000000,103.788,103.948,102.876,103.196,765.586
SU26230RMFS1,D,27/09/21,000000,103.574,103.575,102.75,103.249,111.750
SU26230RMFS1,D,28/09/21,000000,103.498,103.6,102.802,103.349,103.009
SU26230RMFS1,D,29/09/21,000000,103.498,103.575,102.896,102.897,37.592
SU26230RMFS1,D,30/09/21,000000,103,103.449,102.865,103.299,169.761
SU26230RMFS1,D,01/10/21,000000,103.993,103.993,102.2,102.915,189.974
SU26230RMFS1,D,04/10/21,000000,102.4,103.7,101.812,101.913,196.768
SU26230RMFS1,D,05/10/21,000000,102.101,102.101,100.71,101.103,1.543.266
SU26230RMFS1,D,06/10/21,000000,101.103,101.674,100.127,101.035,454.572
SU26230RMFS1,D,07/10/21,000000,101.101,102.048,100.653,102.048,1.119.357
SU26230RMFS1,D,08/10/21,000000,101.657,102.493,101.57,102.423,838.162
SU26230RMFS1,D,11/10/21,000000,102.496,102.497,101.902,101.902,82.285
