date,ticker,price
2020-03-04,EUR_RUB,73.9385
2020-03-04,GAZP,200.0
2020-03-04,GMKN,207.56
2020-03-04,LKOH,5908.5
2020-03-04,MAGN,39.565
2020-03-04,MGNT,3130.0
2020-03-04,MOEX,96.5
2020-03-04,ROSN,415.95
2020-03-04,RUAL,31.9
2020-03-04,SBER,235.27
2020-03-04,SU26218RMFS6,12040.0
2020-03-04,SU26221RMFS0,11425.1
2020-03-04,SU26222RMFS8,10615.0
2020-03-04,SU26224RMFS4,10750.0
2020-03-04,SU26230RMFS1,11660.0
2020-03-04,USD_RUB,66.4437
2020-03-04,VTBR,0.043155
2020-03-05,EUR_RUB,73.7369
2020-03-05,GAZP,198.0
2020-03-05,GMKN,207.8
2020-03-05,LKOH,5862.5
2020-03-05,MAGN,39.265
2020-03-05,MGNT,3121.0
2020-03-05,MOEX,94.93
2020-03-05,ROSN,410.6
2020-03-05,RUAL,32.3
2020-03-05,SBER,232.33
2020-03-05,SU26218RMFS6,11902.3
2020-03-05,SU26221RMFS0,11280.0
2020-03-05,SU26222RMFS8,10540.0
2020-03-05,SU26224RMFS4,10699.800000000001
2020-03-05,SU26230RMFS1,11470.0
2020-03-05,USD_RUB,66.0784
2020-03-05,VTBR,0.04307
2020-03-06,EUR_RUB,73.6842
2020-03-06,GAZP,188.27
2020-03-06,GMKN,217.62
2020-03-06,LKOH,5592.0
2020-03-06,MAGN,38.415
2020-03-06,MGNT,2984.0
2020-03-06,MOEX,90.95
2020-03-06,ROSN,392.95
2020-03-06,RUAL,31.5
2020-03-06,SBER,219.99
2020-03-06,SU26218RMFS6,11669.7
2020-03-06,SU26221RMFS0,11037.4
2020-03-06,SU26222RMFS8,10489.0
2020-03-06,SU26224RMFS4,10440.0
2020-03-06,SU26230RMFS1,11150.0
2020-03-06,USD_RUB,66.1854
2020-03-06,VTBR,0.04122
2020-03-11,EUR_RUB,81.8588
2020-03-11,GAZP,172.03
2020-03-11,GMKN,202.38
2020-03-11,LKOH,4908.0
2020-03-11,MAGN,38.49
2020-03-11,MGNT,2705.0
2020-03-11,MOEX,92.64
2020-03-11,ROSN,314.05
2020-03-11,RUAL,29.65
2020-03-11,SBER,194.53
2020-03-11,SU26218RMFS6,11045.0
2020-03-11,SU26221RMFS0,10393.4
2020-03-11,SU26222RMFS8,10148.8
2020-03-11,SU26224RMFS4,9880.1
2020-03-11,SU26230RMFS1,10329.900000000001
2020-03-11,USD_RUB,72.0208
2020-03-11,VTBR,0.036355
2020-03-12,EUR_RUB,81.0207
2020-03-12,GAZP,163.73
2020-03-12,GMKN,185.0
2020-03-12,LKOH,4511.5
2020-03-12,MAGN,35.0
2020-03-12,MGNT,2337.0
2020-03-12,MOEX,91.69
2020-03-12,ROSN,277.5
2020-03-12,RUAL,25.0
2020-03-12,SBER,175.91
2020-03-12,SU26218RMFS6,10480.0
2020-03-12,SU26221RMFS0,9819.8
2020-03-12,SU26222RMFS8,9835.0
2020-03-12,SU26224RMFS4,9438.5
2020-03-12,SU26230RMFS1,9699.800000000001
2020-03-12,USD_RUB,71.472
2020-03-12,VTBR,0.03112
2020-03-13,EUR_RUB,83.6584
2020-03-13,GAZP,166.1
2020-03-13,GMKN,180.38
2020-03-13,LKOH,4414.0
2020-03-13,MAGN,34.96
2020-03-13,MGNT,2501.0
2020-03-13,MOEX,90.01
2020-03-13,ROSN,266.25
2020-03-13,RUAL,24.4
2020-03-13,SBER,198.6
2020-03-13,SU26218RMFS6,10645.6
2020-03-13,SU26221RMFS0,9889.9
2020-03-13,SU26222RMFS8,9950.0
2020-03-13,SU26224RMFS4,9574.9
2020-03-13,SU26230RMFS1,9800.0
2020-03-13,USD_RUB,74.0274
2020-03-13,VTBR,0.031575
2020-03-16,EUR_RUB,81.861
2020-03-16,GAZP,168.07
2020-03-16,GMKN,170.9
2020-03-16,LKOH,4251.0
2020-03-16,MAGN,35.4
2020-03-16,MGNT,2636.0
2020-03-16,MOEX,87.5
2020-03-16,ROSN,258.5
2020-03-16,RUAL,23.785
2020-03-16,SBER,195.85
2020-03-16,SU26218RMFS6,10498.8
2020-03-16,SU26221RMFS0,9759.9
2020-03-16,SU26222RMFS8,9820.0
2020-03-16,SU26224RMFS4,9350.0
2020-03-16,SU26230RMFS1,9650.0
2020-03-16,USD_RUB,73.1882
2020-03-16,VTBR,0.03015
2020-03-17,EUR_RUB,82.7471
2020-03-17,GAZP,167.0
2020-03-17,GMKN,171.8
2020-03-17,LKOH,4168.5
2020-03-17,MAGN,34.25
2020-03-17,MGNT,2765.5
2020-03-17,MOEX,83.97
2020-03-17,ROSN,249.15
2020-03-17,RUAL,23.0
2020-03-17,SBER,184.01
2020-03-17,SU26218RMFS6,10500.0
2020-03-17,SU26221RMFS0,9740.0
2020-03-17,SU26222RMFS8,9851.0
2020-03-17,SU26224RMFS4,9395.0
2020-03-17,SU26230RMFS1,9648.0
2020-03-17,USD_RUB,74.1262
2020-03-17,VTBR,0.029735
2020-03-18,EUR_RUB,82.3056
2020-03-18,GAZP,166.34
2020-03-18,GMKN,155.0
2020-03-18,LKOH,3754.0
2020-03-18,MAGN,32.0
2020-03-18,MGNT,2780.0
2020-03-18,MOEX,80.98
2020-03-18,ROSN,234.0
2020-03-18,RUAL,20.41
2020-03-18,SBER,174.27
2020-03-18,SU26218RMFS6,10150.3
2020-03-18,SU26221RMFS0,9438.0
2020-03-18,SU26222RMFS8,9689.0
2020-03-18,SU26224RMFS4,9150.3
2020-03-18,SU26230RMFS1,9280.0
2020-03-18,USD_RUB,73.8896
2020-03-18,VTBR,0.02814
2020-03-19,EUR_RUB,84.8881
2020-03-19,GAZP,174.56
2020-03-19,GMKN,162.52
2020-03-19,LKOH,4333.0
2020-03-19,MAGN,33.7
2020-03-19,MGNT,2950.0
2020-03-19,MOEX,88.46
2020-03-19,ROSN,264.4
2020-03-19,RUAL,21.105
2020-03-19,SBER,189.51
2020-03-19,SU26218RMFS6,10377.5
2020-03-19,SU26221RMFS0,9689.7
2020-03-19,SU26222RMFS8,9774.9
2020-03-19,SU26224RMFS4,9340.0
2020-03-19,SU26230RMFS1,9540.0
2020-03-19,USD_RUB,77.2131
2020-03-19,VTBR,0.03057
2020-03-20,EUR_RUB,87.2669
2020-03-20,GAZP,176.26
2020-03-20,GMKN,163.58
2020-03-20,LKOH,4472.5
2020-03-20,MAGN,33.955
2020-03-20,MGNT,3002.5
2020-03-20,MOEX,92.0
2020-03-20,ROSN,287.75
2020-03-20,RUAL,22.4
2020-03-20,SBER,195.69
2020-03-20,SU26218RMFS6,10700.0
2020-03-20,SU26221RMFS0,10046.800000000001
2020-03-20,SU26222RMFS8,9960.0
2020-03-20,SU26224RMFS4,9601.1
2020-03-20,SU26230RMFS1,9940.0
2020-03-20,USD_RUB,80.157
2020-03-20,VTBR,0.0315
2020-03-23,EUR_RUB,84.1552
2020-03-23,GAZP,168.35
2020-03-23,GMKN,162.4
2020-03-23,LKOH,4175.5
2020-03-23,MAGN,33.18
2020-03-23,MGNT,2986.0
2020-03-23,MOEX,91.6
2020-03-23,ROSN,274.0
2020-03-23,RUAL,21.595
2020-03-23,SBER,183.37
2020-03-23,SU26218RMFS6,10750.0
2020-03-23,SU26221RMFS0,10095.099999999999
2020-03-23,SU26222RMFS8,10000.0
2020-03-23,SU26224RMFS4,9664.9
2020-03-23,SU26230RMFS1,10080.0
2020-03-23,USD_RUB,78.0443
2020-03-23,VTBR,0.0316
2020-03-24,EUR_RUB,86.705
2020-03-24,GAZP,177.95
2020-03-24,GMKN,190.28
2020-03-24,LKOH,4494.0
2020-03-24,MAGN,34.2
2020-03-24,MGNT,3020.0
2020-03-24,MOEX,94.46
2020-03-24,ROSN,298.5
2020-03-24,RUAL,24.35
2020-03-24,SBER,192.64
2020-03-24,SU26218RMFS6,11147.5
2020-03-24,SU26221RMFS0,10500.0
2020-03-24,SU26222RMFS8,10140.0
2020-03-24,SU26224RMFS4,9969.9
2020-03-24,SU26230RMFS1,10500.0
2020-03-24,USD_RUB,80.8815
2020-03-24,VTBR,0.03288
2020-03-25,EUR_RUB,85.4253
2020-03-25,GAZP,180.2
2020-03-25,GMKN,199.3
2020-03-25,LKOH,4590.0
2020-03-25,MAGN,35.9
2020-03-25,MGNT,3070.0
